horizon_h,bin_key,n,n_low,n_high,manifest_rate_low,manifest_rate_high,delta_high_minus_low
6,"(0, 0.0, 0.0, 1, 1.0)",8,4,4,0.0,0.0,0.0
6,"(0, 0.0, 0.0, 2, 2.0)",6,3,3,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 1, 1.0)",8,5,3,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 3, 0.0)",10,6,4,0.0,0.0,0.0
6,"(0, 1.0, 0.0, 1, 1.0)",14,11,3,0.0,0.0,0.0
6,"(0, 1.0, 2.0, 0, 1.0)",11,7,4,0.0,0.5,0.5
6,"(0, 2.0, 0.0, 2, 0.0)",11,8,3,0.0,0.0,0.0
6,"(0, 2.0, 0.0, 3, 1.0)",6,3,3,0.3333333333333333,0.0,-0.3333333333333333
6,"(0, 2.0, 2.0, 0, 0.0)",9,3,6,0.0,0.0,0.0
6,"(0, 2.0, 2.0, 0, 2.0)",10,4,6,0.0,0.0,0.0
6,"(0, 3.0, 0.0, 1, 1.0)",9,4,5,0.0,0.0,0.0
6,"(0, 3.0, 0.0, 1, 2.0)",8,4,4,0.0,0.0,0.0
6,"(0, 3.0, 0.0, 2, 0.0)",11,7,4,0.0,0.25,0.25
6,"(0, 3.0, 0.0, 2, 1.0)",9,4,5,0.0,0.0,0.0
6,"(0, 3.0, 0.0, 2, 2.0)",6,3,3,0.0,0.0,0.0
6,"(0, 3.0, 0.0, 3, 0.0)",18,13,5,0.0,0.4,0.4
6,"(0, 3.0, 1.0, 0, 0.0)",11,6,5,0.16666666666666666,0.0,-0.16666666666666666
6,"(0, 3.0, 1.0, 3, 0.0)",9,6,3,0.0,0.3333333333333333,0.3333333333333333
6,"(1, 0.0, 0.0, 2, 1.0)",7,4,3,0.0,0.0,0.0
6,"(1, 0.0, 0.0, 3, 2.0)",7,3,4,0.0,0.0,0.0
6,"(1, 0.0, 1.0, 1, 1.0)",7,4,3,0.0,0.0,0.0
6,"(1, 1.0, 1.0, 0, 0.0)",9,6,3,0.0,0.3333333333333333,0.3333333333333333
6,"(1, 1.0, 2.0, 3, 3.0)",6,3,3,0.0,0.0,0.0
6,"(1, 1.0, 3.0, 0, 0.0)",6,3,3,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 1, 0.0)",10,5,5,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 1, 2.0)",6,3,3,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 2, 3.0)",9,4,5,0.25,0.0,-0.25
6,"(1, 2.0, 1.0, 0, 0.0)",12,6,6,0.0,0.0,0.0
6,"(1, 2.0, 1.0, 2, 3.0)",7,4,3,0.25,0.0,-0.25
6,"(1, 2.0, 3.0, 2, 3.0)",6,3,3,0.0,0.0,0.0
6,"(1, 3.0, 0.0, 1, 0.0)",10,3,7,0.0,0.14285714285714285,0.14285714285714285
6,"(1, 3.0, 0.0, 2, 1.0)",6,3,3,0.0,0.0,0.0
6,"(1, 3.0, 0.0, 3, 0.0)",9,4,5,0.0,0.0,0.0
6,"(1, 3.0, 1.0, 0, 0.0)",6,3,3,0.0,0.0,0.0
6,"(1, 3.0, 3.0, 1, 3.0)",6,3,3,0.3333333333333333,0.0,-0.3333333333333333
6,"(2, 0.0, 1.0, 2, 2.0)",7,4,3,0.25,0.0,-0.25
6,"(2, 0.0, 2.0, 2, 3.0)",8,3,5,0.0,0.0,0.0
6,"(2, 0.0, 2.0, 3, 3.0)",10,5,5,0.0,0.0,0.0
6,"(2, 1.0, 0.0, 2, 3.0)",6,3,3,0.0,0.0,0.0
6,"(2, 1.0, 1.0, 2, 3.0)",8,4,4,0.25,0.0,-0.25
6,"(2, 1.0, 2.0, 1, 2.0)",9,6,3,0.0,0.0,0.0
6,"(2, 2.0, 0.0, 0, 0.0)",6,3,3,0.0,0.0,0.0
6,"(2, 2.0, 0.0, 1, 2.0)",8,5,3,0.0,0.0,0.0
6,"(2, 2.0, 0.0, 2, 1.0)",11,5,6,0.0,0.0,0.0
6,"(2, 2.0, 1.0, 2, 3.0)",9,4,5,0.0,0.4,0.4
6,"(2, 2.0, 3.0, 2, 2.0)",8,3,5,0.3333333333333333,0.2,-0.1333333333333333
6,"(2, 2.0, 3.0, 3, 2.0)",8,5,3,0.2,0.3333333333333333,0.1333333333333333
6,"(2, 3.0, 1.0, 3, 3.0)",7,3,4,0.0,0.0,0.0
6,"(2, 3.0, 2.0, 1, 0.0)",9,6,3,0.0,0.0,0.0
6,"(3, 0.0, 1.0, 3, 2.0)",8,4,4,0.0,0.0,0.0
6,"(3, 0.0, 2.0, 1, 2.0)",10,6,4,0.0,0.0,0.0
6,"(3, 0.0, 3.0, 2, 2.0)",7,3,4,0.0,0.25,0.25
6,"(3, 0.0, 3.0, 3, 2.0)",9,3,6,0.0,0.0,0.0
6,"(3, 1.0, 3.0, 1, 0.0)",9,3,6,0.0,0.0,0.0
6,"(3, 1.0, 3.0, 3, 1.0)",12,3,9,0.0,0.0,0.0
6,"(3, 1.0, 3.0, 3, 2.0)",8,4,4,0.0,0.0,0.0
6,"(3, 2.0, 1.0, 1, 2.0)",7,3,4,0.0,0.0,0.0
6,"(3, 2.0, 2.0, 3, 1.0)",10,6,4,0.16666666666666666,0.0,-0.16666666666666666
6,"(3, 2.0, 3.0, 1, 1.0)",7,4,3,0.0,0.3333333333333333,0.3333333333333333
6,"(3, 3.0, 2.0, 3, 2.0)",9,5,4,0.0,0.0,0.0
6,"(3, 3.0, 3.0, 3, 0.0)",12,4,8,0.0,0.0,0.0
6,"(3, 3.0, 3.0, 3, 2.0)",11,4,7,0.25,0.0,-0.25
