horizon_h,n_patients,n_positive,event_rate,valid_early_warning_auc,leaky_future_sentinel_auc,noise_auc,score_permutation_auc,label_permutation_p,leaky_minus_valid_auc,matched_observed_state_delta
6,4869,280,0.05750667488190594,0.6416212682501634,0.6307120287644367,0.516081935062105,0.4740664788469321,0.000999000999000999,-0.010909239485726752,0.023436389481165602
12,4836,247,0.051075268817204304,0.6327633497811612,0.6446457511934454,0.4998107602848918,0.5141268109005604,0.000999000999000999,0.011882401412284138,0.0024511933727262196
18,4812,223,0.046342477140482126,0.6248750423854275,0.6569242886332788,0.530593239634259,0.48674301092395833,0.000999000999000999,0.032049246247851326,0.056001014970819586
