horizon_h,lambda,provenance,n,n_positive,auc,baseline_valid_auc,oracle_auc,distance_to_oracle_auc,oracle_auc_leakage_proximity,oracle_score_pearson,future_auc,future_auc_gap,temporal_passed,forbidden_passed,forbidden_valid_feature_violations,early_window_plausible,matched_delta,audit_pass_candidate,output_classes
12,0.005,declared,4836,247,0.6497618402746226,0.6327633497811612,1.0,0.3502381597253774,0.04628756547945813,0.0880674309566542,0.6446457511934454,-0.005116089081177222,False,False,oracle_label_sentinel_score,False,0.03497458708483535,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
12,0.01,undeclared,4836,247,0.6665922647273933,0.6327633497811612,1.0,0.3334077352726067,0.09211748044775271,0.0984714512505439,0.6446457511934454,-0.021946513533947942,True,True,,True,0.04361268130948256,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
12,0.01,declared,4836,247,0.6665922647273933,0.6327633497811612,1.0,0.3334077352726067,0.09211748044775271,0.0984714512505439,0.6446457511934454,-0.021946513533947942,False,False,oracle_label_sentinel_score,False,0.04361268130948256,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
12,0.02,undeclared,4836,247,0.6993673482531277,0.6327633497811612,1.0,0.30063265174687226,0.18136533603679467,0.11949551626118733,0.6446457511934454,-0.05472159705968238,True,True,,True,0.05485935331268381,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
12,0.02,declared,4836,247,0.6993673482531277,0.6327633497811612,1.0,0.30063265174687226,0.18136533603679467,0.11949551626118733,0.6446457511934454,-0.05472159705968238,False,False,oracle_label_sentinel_score,False,0.05485935331268381,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
12,0.05,undeclared,4836,247,0.7873007358734097,0.6327633497811612,1.0,0.21269926412659035,0.42081144678821836,0.18407810499399407,0.6446457511934454,-0.1426549846799643,True,True,,True,0.07993313190955759,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
12,0.05,declared,4836,247,0.7873007358734097,0.6327633497811612,1.0,0.21269926412659035,0.42081144678821836,0.18407810499399407,0.6446457511934454,-0.1426549846799643,False,False,oracle_label_sentinel_score,False,0.07993313190955759,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
12,0.1,undeclared,4836,247,0.891339349597656,0.6327633497811612,1.0,0.10866065040234396,0.7041127285700043,0.294988568270287,0.6446457511934454,-0.24669359840421068,True,True,,True,0.09721621444085943,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
12,0.1,declared,4836,247,0.891339349597656,0.6327633497811612,1.0,0.10866065040234396,0.7041127285700043,0.294988568270287,0.6446457511934454,-0.24669359840421068,False,False,oracle_label_sentinel_score,False,0.09721621444085943,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
18,0.0,undeclared,4812,223,0.624873088014134,0.6248750423854275,1.0,0.375126911985866,-5.209920731199913e-06,0.06488578654281882,0.6569242886332788,0.03205120061914479,True,True,,True,0.024775953145408983,True,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
