latent_drop_threshold,observed_slope_abs_threshold,station,false_stability_rate,rank_desc
0.24,0.01,Byrd,0.001,6
0.24,0.01,Cape Denison,0.0,7
0.24,0.015,Dome A,0.5484,1
0.24,0.015,Dome Fuji,0.4464,2
0.24,0.015,Concordia,0.3666,3
0.24,0.015,Dome C,0.2142,4
0.24,0.015,Clean Air,0.1226,5
0.24,0.015,Byrd,0.001,6
0.24,0.015,Cape Denison,0.0,7
0.24,0.02,Dome A,0.5492,1
0.24,0.02,Dome Fuji,0.4471,2
0.24,0.02,Concordia,0.3673,3
0.24,0.02,Dome C,0.2144,4
0.24,0.02,Clean Air,0.1226,5
0.24,0.02,Byrd,0.001,6
0.24,0.02,Cape Denison,0.0,7
0.24,0.03,Dome A,0.5492,1
0.24,0.03,Dome Fuji,0.4471,2
0.24,0.03,Concordia,0.3673,3
0.24,0.03,Dome C,0.2144,4
0.24,0.03,Clean Air,0.1226,5
0.24,0.03,Byrd,0.001,6
0.24,0.03,Cape Denison,0.0,7
0.3,0.005,Dome A,0.2013,1
0.3,0.005,Dome Fuji,0.1363,2
0.3,0.005,Concordia,0.0863,3
0.3,0.005,Dome C,0.0376,4
0.3,0.005,Clean Air,0.0153,5
0.3,0.005,Cape Denison,0.0,6
0.3,0.005,Byrd,0.0,7
0.3,0.01,Dome A,0.2721,1
0.3,0.01,Dome Fuji,0.1856,2
0.3,0.01,Concordia,0.12,3
0.3,0.01,Dome C,0.0517,4
0.3,0.01,Clean Air,0.0195,5
0.3,0.01,Cape Denison,0.0,6
0.3,0.01,Byrd,0.0,7
0.3,0.015,Dome A,0.2815,1
0.3,0.015,Dome Fuji,0.192,2
0.3,0.015,Concordia,0.1242,3
0.3,0.015,Dome C,0.0539,4
0.3,0.015,Clean Air,0.0204,5
0.3,0.015,Cape Denison,0.0,6
0.3,0.015,Byrd,0.0,7
0.3,0.02,Dome A,0.2821,1
0.3,0.02,Dome Fuji,0.1924,2
0.3,0.02,Concordia,0.1245,3
0.3,0.02,Dome C,0.054,4
0.3,0.02,Clean Air,0.0204,5
0.3,0.02,Cape Denison,0.0,6
0.3,0.02,Byrd,0.0,7
0.3,0.03,Dome A,0.2821,1
0.3,0.03,Dome Fuji,0.1924,2
0.3,0.03,Concordia,0.1245,3
0.3,0.03,Dome C,0.054,4
0.3,0.03,Clean Air,0.0204,5
0.3,0.03,Cape Denison,0.0,6
0.3,0.03,Byrd,0.0,7
