station,latent_drop_threshold,observed_slope_abs_threshold,n_systems,false_stability_cases,false_stability_rate
Clean Air,0.21,0.02,10000,2540,0.254
Concordia,0.21,0.02,10000,5312,0.5312
Dome A,0.21,0.02,10000,6738,0.6738
Dome C,0.21,0.02,10000,3669,0.3669
Dome Fuji,0.21,0.02,10000,5971,0.5971
Byrd,0.21,0.03,10000,63,0.0063
Cape Denison,0.21,0.03,10000,2,0.0002
Clean Air,0.21,0.03,10000,2540,0.254
Concordia,0.21,0.03,10000,5312,0.5312
Dome A,0.21,0.03,10000,6738,0.6738
Dome C,0.21,0.03,10000,3669,0.3669
Dome Fuji,0.21,0.03,10000,5971,0.5971
Byrd,0.24,0.005,10000,10,0.001
Cape Denison,0.24,0.005,10000,0,0.0
Clean Air,0.24,0.005,10000,927,0.0927
Concordia,0.24,0.005,10000,2707,0.2707
Dome A,0.24,0.005,10000,4076,0.4076
Dome C,0.24,0.005,10000,1577,0.1577
Dome Fuji,0.24,0.005,10000,3313,0.3313
Byrd,0.24,0.01,10000,10,0.001
Cape Denison,0.24,0.01,10000,0,0.0
Clean Air,0.24,0.01,10000,1202,0.1202
Concordia,0.24,0.01,10000,3560,0.356
Dome A,0.24,0.01,10000,5346,0.5346
Dome C,0.24,0.01,10000,2087,0.2087
Dome Fuji,0.24,0.01,10000,4339,0.4339
Byrd,0.24,0.015,10000,10,0.001
Cape Denison,0.24,0.015,10000,0,0.0
Clean Air,0.24,0.015,10000,1226,0.1226
Concordia,0.24,0.015,10000,3666,0.3666
Dome A,0.24,0.015,10000,5484,0.5484
Dome C,0.24,0.015,10000,2142,0.2142
Dome Fuji,0.24,0.015,10000,4464,0.4464
Byrd,0.24,0.02,10000,10,0.001
Cape Denison,0.24,0.02,10000,0,0.0
Clean Air,0.24,0.02,10000,1226,0.1226
Concordia,0.24,0.02,10000,3673,0.3673
Dome A,0.24,0.02,10000,5492,0.5492
Dome C,0.24,0.02,10000,2144,0.2144
Dome Fuji,0.24,0.02,10000,4471,0.4471
Byrd,0.24,0.03,10000,10,0.001
Cape Denison,0.24,0.03,10000,0,0.0
Clean Air,0.24,0.03,10000,1226,0.1226
Concordia,0.24,0.03,10000,3673,0.3673
Dome A,0.24,0.03,10000,5492,0.5492
Dome C,0.24,0.03,10000,2144,0.2144
Dome Fuji,0.24,0.03,10000,4471,0.4471
Byrd,0.3,0.005,10000,0,0.0
Cape Denison,0.3,0.005,10000,0,0.0
Clean Air,0.3,0.005,10000,153,0.0153
Concordia,0.3,0.005,10000,863,0.0863
Dome A,0.3,0.005,10000,2013,0.2013
Dome C,0.3,0.005,10000,376,0.0376
Dome Fuji,0.3,0.005,10000,1363,0.1363
Byrd,0.3,0.01,10000,0,0.0
Cape Denison,0.3,0.01,10000,0,0.0
Clean Air,0.3,0.01,10000,195,0.0195
Concordia,0.3,0.01,10000,1200,0.12
Dome A,0.3,0.01,10000,2721,0.2721
Dome C,0.3,0.01,10000,517,0.0517
Dome Fuji,0.3,0.01,10000,1856,0.1856
Byrd,0.3,0.015,10000,0,0.0
Cape Denison,0.3,0.015,10000,0,0.0
Clean Air,0.3,0.015,10000,204,0.0204
Concordia,0.3,0.015,10000,1242,0.1242
Dome A,0.3,0.015,10000,2815,0.2815
Dome C,0.3,0.015,10000,539,0.0539
Dome Fuji,0.3,0.015,10000,1920,0.192
Byrd,0.3,0.02,10000,0,0.0
Cape Denison,0.3,0.02,10000,0,0.0
Clean Air,0.3,0.02,10000,204,0.0204
Concordia,0.3,0.02,10000,1245,0.1245
Dome A,0.3,0.02,10000,2821,0.2821
Dome C,0.3,0.02,10000,540,0.054
Dome Fuji,0.3,0.02,10000,1924,0.1924
Byrd,0.3,0.03,10000,0,0.0
Cape Denison,0.3,0.03,10000,0,0.0
Clean Air,0.3,0.03,10000,204,0.0204
Concordia,0.3,0.03,10000,1245,0.1245
Dome A,0.3,0.03,10000,2821,0.2821
Dome C,0.3,0.03,10000,540,0.054
Dome Fuji,0.3,0.03,10000,1924,0.1924
