"host","source","subdomain_listed","api_host_listed","api_row_count","valid_hostname_syntax","dns_resolves","address_count","sample_addresses","verification_note"
"watchdocs.console3.com","Subdomains.csv","True","False","0","True","True","4","18.165.122.65;18.165.122.69;18.165.122.75",""
"watchdocs-gcp.console3.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"ws-cf.usa.usea2.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"www.beginit.indrive.com","Subdomains.csv","True","False","0","True","True","1","198.202.211.1",""
"www.book.indrive.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"www.delivery.indrive.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"www.fic-cf.indrive.dev","Subdomains.csv","True","False","0","True","True","4","13.33.235.127;13.33.235.38;13.33.235.85",""
"www.id.indrive.com","Subdomains.csv","True","False","0","True","True","1","167.172.86.54",""
"www.indriver.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.108;3.164.68.111;3.164.68.124",""
"www.intercity.indrive.com","Subdomains.csv","True","False","0","True","True","4","18.165.140.102;18.165.140.16;18.165.140.49",""
"www.lp-services.indrive.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"zb06605603.indriver.com","Subdomains.csv","True","False","0","True","True","1","204.141.43.104",""
