monitor,monitor_id,score,auc,inverted_auc,direction_ambiguous,audit_pass,temporal_passed,forbidden_passed,matched_delta,output_classes,key_warnings
Signed cardiotoxic-response expression score,signed_cardiotoxic_response_score,signed_cardiotoxic_response_score,0.6098901098901099,0.39010989010989006,False,False,True,True,0.016877637130801697,oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;threshold_fragile_claim,"drug/dose/time sentinel, oracle sentinel"
Severe-TKI drug-identity shortcut score,severe_tki_identity_shortcut_score,severe_tki_identity_shortcut_score,0.9423076923076923,0.05769230769230771,False,False,True,False,0.40202702702702703,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, drug/dose/time sentinel, oracle sentinel"
Dose shortcut score,dose_shortcut_score,dose_shortcut_score,0.7132554945054945,0.2867445054945055,False,False,True,False,0.26190476190476186,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, drug/dose/time sentinel, oracle sentinel"
Exposure-time shortcut score,exposure_time_shortcut_score,exposure_time_shortcut_score,0.5182005494505495,0.4817994505494505,False,False,True,False,-0.042490842490842506,forbidden_feature_contamination;null_or_destroyed_signal;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel,"forbidden, drug/dose/time sentinel, oracle sentinel"
Combined drug-dose shortcut score,combined_drug_dose_shortcut_score,combined_drug_dose_shortcut_score,1.0,0.0,False,False,True,False,0.4426229508196721,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, drug/dose/time sentinel, oracle sentinel"
Endpoint-adjacent marker-selection score,endpoint_adjacent_marker_score,endpoint_adjacent_marker_score,0.9972527472527473,0.0027472527472527375,False,False,False,False,0.3227848101265823,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, drug/dose/time sentinel, oracle sentinel"
