cluster_id,n_cells_kept_or_review,label,top_label,confidence,second_best_label,second_best_confidence,top_minus_second_margin,ambiguity_flag,contamination_flag,mean_structural_marker_score,mean_calcium_marker_score,mean_stress_marker_score,mean_fibroblast_marker_score
0,409,unknown_or_mixed,stressed_cm,0.5466399775795265,fibroblast_contamination,0.2125955208863147,0.3340444566932118,True,False,-0.5610577243685424,-0.38334641337980135,0.5850519920678224,0.018193694695536423
1,786,unknown_or_mixed,stressed_cm,0.4669036038157602,fibroblast_contamination,0.18099576909138454,0.28590783472437564,True,False,-0.04424186876495064,0.02182802092166671,0.5852456689746868,-0.016590562481317944
2,958,unknown_or_mixed,ventricular_cm,0.5009515659560912,immature_cm,0.21405335085377863,0.2868982151023126,True,False,1.2805446412785348,1.0584828441590115,0.5416031478650871,0.012081713649293734
3,634,ventricular_cm,ventricular_cm,0.6177233120029095,immature_cm,0.1977819638769995,0.41994134812591,False,False,1.7715366244988706,1.3845667880906807,0.5529775408230349,0.008873329813683122
4,666,unknown_or_mixed,stressed_cm,0.33565408712583794,ventricular_cm,0.3210965787595446,0.014557508366293326,True,False,0.6277105964647302,0.5298220347311174,0.5887663037400617,-0.019592574383578615
5,642,unknown_or_mixed,fibroblast_contamination,0.4130374311164464,stressed_cm,0.3868891849277107,0.026148246188735735,True,True,-0.42656968567347636,-0.34709609236490385,0.5614899085900767,0.9946908059483895
