horizon_h,bin_key,n,n_low,n_high,manifest_rate_low,manifest_rate_high,delta_high_minus_low
6,"(1, 0.0, 1.0, 1, 2.0)",21,5,16,0.0,0.125,0.125
6,"(1, 0.0, 1.0, 2, 2.0)",22,11,11,0.09090909090909091,0.09090909090909091,0.0
6,"(1, 0.0, 2.0, 0, 0.0)",16,6,10,0.0,0.1,0.1
6,"(1, 0.0, 2.0, 0, 1.0)",27,7,20,0.0,0.0,0.0
6,"(1, 0.0, 2.0, 1, 0.0)",16,12,4,0.0,0.0,0.0
6,"(1, 0.0, 2.0, 1, 1.0)",19,12,7,0.0,0.14285714285714285,0.14285714285714285
6,"(1, 0.0, 2.0, 1, 2.0)",30,7,23,0.0,0.043478260869565216,0.043478260869565216
6,"(1, 0.0, 2.0, 2, 0.0)",10,7,3,0.0,0.0,0.0
6,"(1, 0.0, 2.0, 2, 2.0)",19,10,9,0.0,0.3333333333333333,0.3333333333333333
6,"(1, 1.0, 0.0, 0, 0.0)",17,5,12,0.0,0.08333333333333333,0.08333333333333333
6,"(1, 1.0, 0.0, 0, 1.0)",15,5,10,0.0,0.1,0.1
6,"(1, 1.0, 0.0, 1, 0.0)",18,14,4,0.0,0.0,0.0
6,"(1, 1.0, 0.0, 1, 1.0)",24,17,7,0.0,0.0,0.0
6,"(1, 1.0, 0.0, 1, 2.0)",24,11,13,0.0,0.07692307692307693,0.07692307692307693
6,"(1, 1.0, 0.0, 2, 0.0)",16,11,5,0.0,0.0,0.0
6,"(1, 1.0, 0.0, 2, 1.0)",25,21,4,0.09523809523809523,0.0,-0.09523809523809523
6,"(1, 1.0, 0.0, 2, 2.0)",13,6,7,0.0,0.14285714285714285,0.14285714285714285
6,"(1, 1.0, 1.0, 0, 0.0)",24,11,13,0.0,0.07692307692307693,0.07692307692307693
6,"(1, 1.0, 1.0, 0, 1.0)",18,15,3,0.0,0.0,0.0
6,"(1, 1.0, 1.0, 0, 2.0)",21,6,15,0.0,0.06666666666666667,0.06666666666666667
6,"(1, 1.0, 1.0, 1, 2.0)",24,16,8,0.0625,0.125,0.0625
6,"(1, 1.0, 1.0, 2, 2.0)",21,12,9,0.0,0.1111111111111111,0.1111111111111111
6,"(1, 1.0, 2.0, 0, 0.0)",19,12,7,0.08333333333333333,0.0,-0.08333333333333333
6,"(1, 1.0, 2.0, 0, 1.0)",21,5,16,0.0,0.0625,0.0625
6,"(1, 1.0, 2.0, 0, 2.0)",16,3,13,0.0,0.15384615384615385,0.15384615384615385
6,"(1, 1.0, 2.0, 1, 0.0)",24,21,3,0.047619047619047616,0.6666666666666666,0.6190476190476191
6,"(1, 1.0, 2.0, 1, 1.0)",19,16,3,0.0625,0.0,-0.0625
6,"(1, 1.0, 2.0, 1, 2.0)",22,8,14,0.0,0.07142857142857142,0.07142857142857142
6,"(1, 1.0, 2.0, 2, 0.0)",18,15,3,0.06666666666666667,0.0,-0.06666666666666667
6,"(1, 1.0, 2.0, 2, 1.0)",25,22,3,0.09090909090909091,0.0,-0.09090909090909091
