horizon_h,n_patients,n_positive,event_rate,valid_early_warning_auc,future_physiology_sentinel_auc,oracle_label_sentinel_auc,noise_auc,score_permutation_auc,label_permutation_p,oracle_minus_valid_auc,matched_observed_state_delta
6,4869,280,0.05750667488190594,0.6416212682501634,0.6307120287644367,1.0,0.516081935062105,0.4740664788469321,0.000999000999000999,0.3583787317498366,0.03184078160152463
12,4836,247,0.051075268817204304,0.6327633497811612,0.6446457511934454,1.0,0.4998107602848918,0.5141268109005604,0.000999000999000999,0.3672366502188388,0.032739879822438964
18,4812,223,0.046342477140482126,0.6248750423854275,0.6569242886332788,1.0,0.530593239634259,0.48674301092395833,0.000999000999000999,0.37512495761457254,0.026827071699600965
