start_date_time,MCORR_E,relative_to_median,z_positive,iris_radiation_proxy
2021-01-01 00:00:00,326.479,-0.0005724501478574808,0.0,0.05
2021-01-01 01:00:00,326.749,0.0002540821511881458,0.03555358990253232,0.05355535899025324
2021-01-01 02:00:00,325.976,-0.0021122492086718477,0.0,0.05
2021-01-01 03:00:00,326.102,-0.001726534135784016,0.0,0.05
2021-01-01 04:00:00,326.61,-0.00017142892128346133,0.0,0.05
2021-01-01 05:00:00,326.441,-0.0006887769158713265,0.0,0.05
2021-01-01 06:00:00,325.354,-0.004016334727213766,0.0,0.05
2021-01-01 07:00:00,326.239,-0.0013071455247868494,0.0,0.05
2021-01-01 08:00:00,326.065,-0.0018397996730605546,0.0,0.05
2021-01-01 09:00:00,326.479,-0.0005724501478574808,0.0,0.05
2021-01-01 10:00:00,327.16,0.001512247984179646,0.21160811339573848,0.07116081133957385
2021-01-01 11:00:00,327.259,0.0018153098271629668,0.2540154073758492,0.07540154073758493
2021-01-01 12:00:00,327.125,0.0014051049083773739,0.19661563572599006,0.069661563572599
2021-01-01 13:00:00,327.903,0.0037867424219233813,0.5298769964990252,0.10298769964990252
2021-01-01 14:00:00,328.696,0.006214298396527431,0.8695637048447993,0.13695637048447995
2021-01-01 15:00:00,327.895,0.0037622525760256193,0.5264501444602117,0.10264501444602117
2021-01-01 16:00:00,328.214,0.004738785181194253,0.6630958695072567,0.11630958695072567
2021-01-01 17:00:00,328.189,0.004662254412764183,0.6523869568860253,0.11523869568860252
2021-01-01 18:00:00,327.292,0.0019163304414906246,0.2681511720358699,0.076815117203587
2021-01-01 19:00:00,327.967,0.00398266118910443,0.5572918128093876,0.10572918128093875
2021-01-01 20:00:00,328.29,0.004971438717221944,0.6956509638758395,0.11956509638758395
2021-01-01 21:00:00,328.226,0.004775519950040721,0.6682361475654528,0.11682361475654528
2021-01-01 22:00:00,328.652,0.006079604244090263,0.8507160186313978,0.13507160186313977
2021-01-01 23:00:00,327.96,0.003961232573943976,0.5542933172754378,0.10542933172754379
2021-01-02 00:00:00,328.566,0.005816338400690544,0.8138773592143226,0.13138773592143227
2021-01-02 01:00:00,328.241,0.0048214384110987635,0.6746614951381916,0.11746614951381916
2021-01-02 02:00:00,328.292,0.004977561178696211,0.6965076768855185,0.11965076768855185
2021-01-02 03:00:00,326.847,0.0005540827634341595,0.07753252737777919,0.05775325273777792
2021-01-02 04:00:00,327.795,0.0034561295023051654,0.48361449397526146,0.09836144939752614
