monitor,score,auc,audit_pass,temporal_passed,forbidden_passed,matched_delta,oracle_proximity_shift,output_classes
MLP hand-crafted valid,mlp_probe_valid_score,0.6749418604651163,True,True,True,0.03888102275363276,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
MLP hand-crafted leaky,mlp_probe_leaky_score,0.8200484496124031,False,False,False,0.0833781402620256,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
MLP low-dose oracle mix,mlp_lowdose_oracle_score,0.6824450904392765,False,False,False,0.04047063021151495,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
LSTM valid sequence,lstm_valid_score,0.5758947028423773,False,True,True,0.013442352615037376,False,null_or_destroyed_signal;oracle_label_leakage_sentinel
LSTM future-window leaky sequence,lstm_future_leaky_score,0.6180264857881137,False,False,False,0.026168730951505903,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
GRU valid sequence,gru_valid_score,0.5690116279069768,False,True,True,0.013443825526557944,False,null_or_destroyed_signal;oracle_label_leakage_sentinel;threshold_fragile_claim
GRU future-window leaky sequence,gru_future_leaky_score,0.616437338501292,False,False,False,0.02617023892613373,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
TRANSFORMER valid sequence,transformer_valid_score,0.5827228682170542,False,True,True,0.002320548520347042,False,oracle_label_leakage_sentinel
TRANSFORMER future-window leaky sequence,transformer_future_leaky_score,0.5915859173126615,False,False,False,0.01186484910964993,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete
