horizon_h,lambda,lambda_percent,mode,ground_truth_leakage,n,n_positive,clean_auc,mixed_auc,auc_delta,auc_delta_ge_0p01,oracle_auc,distance_to_oracle_auc,oracle_proximity,oracle_proximity_alert,future_auc,matched_delta,temporal_passed,forbidden_passed,threshold_fragile,audit_pass_candidate,lamp_detected_leakage,output_classes,forbidden_valid_feature_violations
6,0.01,1.0,geometry_only,True,4869,280,0.6416212682501634,0.6571794352955826,0.015558167045419236,True,1.0,0.34282056470441735,0.04341264050311861,True,0.6307112505058681,0.03419689603213109,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
6,0.02,2.0,strict_declared,True,4869,280,0.6416212682501634,0.67285200635059,0.031230738100426536,True,1.0,0.32714799364941005,0.08714450756588676,True,0.6307112505058681,0.04018869672591854,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
6,0.02,2.0,geometry_only,True,4869,280,0.6416212682501634,0.67285200635059,0.031230738100426536,True,1.0,0.32714799364941005,0.08714450756588676,True,0.6307112505058681,0.04018869672591854,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
6,0.05,5.0,strict_declared,True,4869,280,0.6416212682501634,0.7188470877564362,0.07722581950627283,True,1.0,0.28115291224356376,0.21548661420058737,True,0.6307112505058681,0.06413767079772961,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
6,0.05,5.0,geometry_only,True,4869,280,0.6416212682501634,0.7188470877564362,0.07722581950627283,True,1.0,0.28115291224356376,0.21548661420058737,True,0.6307112505058681,0.06413767079772961,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
6,0.1,10.0,strict_declared,True,4869,280,0.6416212682501634,0.7893090620427731,0.14768779379260966,True,1.0,0.21069093795722693,0.4120997724153506,True,0.6307112505058681,0.08808899520207436,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
6,0.1,10.0,geometry_only,True,4869,280,0.6416212682501634,0.7893090620427731,0.14768779379260966,True,1.0,0.21069093795722693,0.4120997724153506,True,0.6307112505058681,0.08808899520207436,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.0,0.0,strict_declared,False,4836,247,0.6327620264265101,0.6327620264265101,0.0,False,1.0,0.36723797357348986,0.0,False,0.6446457511934454,0.02806232326883745,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
12,0.0,0.0,geometry_only,False,4836,247,0.6327620264265101,0.6327620264265101,0.0,False,1.0,0.36723797357348986,0.0,False,0.6446457511934454,0.02806232326883745,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
12,1e-05,0.001,strict_declared,True,4836,247,0.6327620264265101,0.6327805533916256,1.8526965115506222e-05,False,1.0,0.36721944660837436,5.044948085086494e-05,False,0.6446457511934454,0.02806232326883745,False,False,False,False,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,1e-05,0.001,geometry_only,True,4836,247,0.6327620264265101,0.6327805533916256,1.8526965115506222e-05,False,1.0,0.36721944660837436,5.044948085086494e-05,False,0.6446457511934454,0.02806232326883745,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
12,5e-05,0.005,strict_declared,True,4836,247,0.6327620264265101,0.6328476033606151,8.557693410493616e-05,False,1.0,0.3671523966393849,0.00023302855440631858,False,0.6446457511934454,0.02806232326883745,False,False,False,False,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,5e-05,0.005,geometry_only,True,4836,247,0.6327620264265101,0.6328476033606151,8.557693410493616e-05,False,1.0,0.3671523966393849,0.00023302855440631858,False,0.6446457511934454,0.02806232326883745,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
12,0.0001,0.01,strict_declared,True,4836,247,0.6327620264265101,0.6329437671319288,0.00018174070541865373,False,1.0,0.3670562328680712,0.000494885383584344,False,0.6446457511934454,0.02806232326883745,False,False,False,False,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.0001,0.01,geometry_only,True,4836,247,0.6327620264265101,0.6329437671319288,0.00018174070541865373,False,1.0,0.3670562328680712,0.000494885383584344,False,0.6446457511934454,0.02806232326883745,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
12,0.0005,0.05,strict_declared,True,4836,247,0.6327620264265101,0.6336327937869382,0.0008707673604280153,False,1.0,0.36636720621306185,0.002371125599988536,True,0.6446457511934454,0.02806232326883745,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.0005,0.05,geometry_only,True,4836,247,0.6327620264265101,0.6336327937869382,0.0008707673604280153,False,1.0,0.36636720621306185,0.002371125599988536,True,0.6446457511934454,0.02806232326883745,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.001,0.1,strict_declared,True,4836,247,0.6327620264265101,0.6344532736706241,0.001691247244113958,False,1.0,0.3655467263293759,0.004605316894810482,True,0.6446457511934454,0.02806232326883745,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.001,0.1,geometry_only,True,4836,247,0.6327620264265101,0.6344532736706241,0.001691247244113958,False,1.0,0.3655467263293759,0.004605316894810482,True,0.6446457511934454,0.02806232326883745,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.002,0.2,strict_declared,True,4836,247,0.6327620264265101,0.6360271834690066,0.003265157042496414,False,1.0,0.36397281653099345,0.00889112041089892,True,0.6446457511934454,0.028926026800358804,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.002,0.2,geometry_only,True,4836,247,0.6327620264265101,0.6360271834690066,0.003265157042496414,False,1.0,0.36397281653099345,0.00889112041089892,True,0.6446457511934454,0.028926026800358804,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.005,0.5,strict_declared,True,4836,247,0.6327620264265101,0.641058577852513,0.00829655142600283,False,1.0,0.35894142214748703,0.02259175799624263,True,0.6446457511934454,0.03238447268811616,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.005,0.5,geometry_only,True,4836,247,0.6327620264265101,0.641058577852513,0.00829655142600283,False,1.0,0.35894142214748703,0.02259175799624263,True,0.6446457511934454,0.03238447268811616,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.01,1.0,strict_declared,True,4836,247,0.6327620264265101,0.6492783747087517,0.016516348282241577,True,1.0,0.3507216252912483,0.04497451100038925,True,0.6446457511934454,0.03497458708483535,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.01,1.0,geometry_only,True,4836,247,0.6327620264265101,0.6492783747087517,0.016516348282241577,True,1.0,0.3507216252912483,0.04497451100038925,True,0.6446457511934454,0.03497458708483535,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
