model_id,model_name,diagnosis,primary_auc,audit_pass_candidate,endpoint_axis,score_axis,protocol_sentinel_dominance,flags,warnings,interpretation
clean_calcium_probe,Clean calcium/electrophysiology probe,valid_biological_signal_fragile,0.6938775510204082,True,structural_maturation,calcium_handling_electrophysiology,True,,bootstrap_pass_rate_below_stable_threshold;donor_heldout_not_evaluable;leave_group_out_pass_rate_below_stable_threshold;oracle_sentinel_present;protocol_heldout_not_evaluable;protocol_sentinel_dominance_present;threshold_grid_not_fully_stable,"The claim has a plausible disjoint biological signal, but robustness or sentinel-dominance warnings limit interpretation."
protocol_shortcut,High-calcium protocol shortcut,protocol_confounded_signal,0.8571428571428571,False,structural_maturation,intervention_protocol_structure,True,forbidden_protocol_feature_used_by_score;score_axis_not_declared_as_allowed_probe,oracle_sentinel_present;protocol_sentinel_dominance_present,The signal is not cleanly separable from protocol or intervention structure.
explicit_oracle_leakage,Explicit oracle leakage,endpoint_adjacent_contamination,1.0,False,structural_maturation,structural_maturation,False,endpoint_axis_reused_as_score_axis;score_axis_not_declared_as_allowed_probe;temporal_isolation_failed,oracle_sentinel_present,"The score violates endpoint, oracle, or temporal isolation."
